======================================================================
Experiment Log: CCAP-Net on SEED
Start Time: 2026-01-14 20:05:33
======================================================================


======================================================================
SEED Session 1 Training Start
======================================================================
Training subject 1/15, Session 1, Dataset SEED
[2026-01-14 20:18:48] Epoch  520/1200 | Loss: 1.6195 (PIL: 0.0333, Trans: 1.5862) | Src Acc: 100.00% | Tgt Acc: 60.28%
[2026-01-14 20:19:15] Epoch  530/1200 | Loss: 1.6249 (PIL: 0.0492, Trans: 1.5757) | Src Acc: 99.99% | Tgt Acc: 61.37%
[2026-01-14 20:19:34] Epoch  540/1200 | Loss: 1.7576 (PIL: 0.0601, Trans: 1.6975) | Src Acc: 99.94% | Tgt Acc: 65.44%
[2026-01-14 20:19:51] Epoch  550/1200 | Loss: 1.6138 (PIL: 0.0477, Trans: 1.5661) | Src Acc: 99.84% | Tgt Acc: 70.77%
[2026-01-14 20:20:06] Epoch  560/1200 | Loss: 1.7296 (PIL: 0.0514, Trans: 1.6781) | Src Acc: 99.97% | Tgt Acc: 69.74%
[2026-01-14 20:20:21] Epoch  570/1200 | Loss: 1.6895 (PIL: 0.0476, Trans: 1.6420) | Src Acc: 100.00% | Tgt Acc: 70.21%
[2026-01-14 20:20:35] Epoch  580/1200 | Loss: 1.7355 (PIL: 0.0743, Trans: 1.6612) | Src Acc: 100.00% | Tgt Acc: 68.95%
[2026-01-14 20:20:49] Epoch  590/1200 | Loss: 1.7276 (PIL: 0.0680, Trans: 1.6596) | Src Acc: 100.00% | Tgt Acc: 68.39%
[2026-01-14 20:21:03] Epoch  600/1200 | Loss: 1.7427 (PIL: 0.0801, Trans: 1.6626) | Src Acc: 100.00% | Tgt Acc: 67.38%
[2026-01-14 20:21:18] Epoch  610/1200 | Loss: 1.6373 (PIL: 0.0114, Trans: 1.6260) | Src Acc: 100.00% | Tgt Acc: 75.66%
[2026-01-14 20:21:33] Epoch  620/1200 | Loss: 1.6126 (PIL: 0.0036, Trans: 1.6090) | Src Acc: 100.00% | Tgt Acc: 73.69%
[2026-01-14 20:21:48] Epoch  630/1200 | Loss: 1.6487 (PIL: 0.0260, Trans: 1.6227) | Src Acc: 99.95% | Tgt Acc: 70.80%
[2026-01-14 20:22:04] Epoch  640/1200 | Loss: 1.6174 (PIL: 0.0140, Trans: 1.6034) | Src Acc: 100.00% | Tgt Acc: 71.86%
[2026-01-14 20:22:18] Epoch  650/1200 | Loss: 1.6540 (PIL: 0.0173, Trans: 1.6367) | Src Acc: 100.00% | Tgt Acc: 74.69%
[2026-01-14 20:22:33] Epoch  660/1200 | Loss: 1.6522 (PIL: 0.0127, Trans: 1.6395) | Src Acc: 100.00% | Tgt Acc: 71.33%
[2026-01-14 20:22:46] Epoch  670/1200 | Loss: 1.6640 (PIL: 0.0114, Trans: 1.6525) | Src Acc: 100.00% | Tgt Acc: 73.42%
[2026-01-14 20:23:00] Epoch  680/1200 | Loss: 1.6740 (PIL: 0.0145, Trans: 1.6595) | Src Acc: 99.94% | Tgt Acc: 74.99%
