======================================================================
Experiment Log: CCAP-Net | dataset=ENTER | mode=cross-subject | sessions=[1]
Start Time: 2026-01-17 13:56:54
======================================================================


======================================================================
ENTER Session 1 Training Start
======================================================================
Training subject 1/50, Session 1, Dataset ENTER
[2026-01-17 14:11:12] Epoch  600/1200 | Loss: 5.0437 (PIL: 1.7416, Trans: 3.3021) | Src Acc: 62.09% | Tgt Acc: 37.70% | CDANcov: 4.2%
[2026-01-17 14:11:26] Epoch  610/1200 | Loss: 5.1782 (PIL: 1.7386, Trans: 3.4396) | Src Acc: 61.01% | Tgt Acc: 40.64% | CDANcov: 0.1%
[2026-01-17 14:11:41] Epoch  620/1200 | Loss: 5.4030 (PIL: 1.7607, Trans: 3.6423) | Src Acc: 59.99% | Tgt Acc: 46.33% | CDANcov: 3.1%
[2026-01-17 14:11:57] Epoch  630/1200 | Loss: 5.3694 (PIL: 1.7458, Trans: 3.6235) | Src Acc: 59.43% | Tgt Acc: 38.22% | CDANcov: 1.9%
[2026-01-17 14:12:13] Epoch  640/1200 | Loss: 5.3444 (PIL: 1.7371, Trans: 3.6073) | Src Acc: 58.44% | Tgt Acc: 36.32% | CDANcov: 3.2%
[2026-01-17 14:12:29] Epoch  650/1200 | Loss: 4.7590 (PIL: 1.7179, Trans: 3.0411) | Src Acc: 60.83% | Tgt Acc: 41.24% | CDANcov: 6.0%
[2026-01-17 14:12:45] Epoch  660/1200 | Loss: 4.8080 (PIL: 1.6799, Trans: 3.1280) | Src Acc: 62.68% | Tgt Acc: 40.64% | CDANcov: 3.7%
[2026-01-17 14:13:00] Epoch  670/1200 | Loss: 5.0527 (PIL: 1.7491, Trans: 3.3036) | Src Acc: 63.12% | Tgt Acc: 43.14% | CDANcov: 2.9%
[2026-01-17 14:13:15] Epoch  680/1200 | Loss: 5.0683 (PIL: 1.7284, Trans: 3.3399) | Src Acc: 63.69% | Tgt Acc: 43.23% | CDANcov: 7.0%
[2026-01-17 14:13:31] Epoch  690/1200 | Loss: 5.3217 (PIL: 1.7347, Trans: 3.5869) | Src Acc: 61.95% | Tgt Acc: 41.93% | CDANcov: 3.6%
[2026-01-17 14:13:47] Epoch  700/1200 | Loss: 5.3621 (PIL: 1.7306, Trans: 3.6315) | Src Acc: 63.01% | Tgt Acc: 43.14% | CDANcov: 3.5%
[2026-01-17 14:14:03] Epoch  710/1200 | Loss: 5.3543 (PIL: 1.7475, Trans: 3.6068) | Src Acc: 62.45% | Tgt Acc: 40.72% | CDANcov: 3.0%
[2026-01-17 14:14:18] Epoch  720/1200 | Loss: 5.1494 (PIL: 1.6240, Trans: 3.5253) | Src Acc: 62.72% | Tgt Acc: 42.36% | CDANcov: 1.9%
