======================================================================
REFED Session 1 Training Start
======================================================================
Training subject 1/32, Session 1, Dataset REFED
[2026-01-18 20:33:59] Epoch 1010/1200 | Loss: 2.9292 (PIL: 0.4411, Trans: 2.4881) | Src Acc: 87.28% | Tgt Acc: 28.93% | CDANcov: 98.0%
[2026-01-18 20:34:09] Epoch 1020/1200 | Loss: 2.9123 (PIL: 0.4580, Trans: 2.4543) | Src Acc: 88.68% | Tgt Acc: 32.83% | CDANcov: 98.3%
[2026-01-18 20:34:18] Epoch 1030/1200 | Loss: 2.9128 (PIL: 0.4974, Trans: 2.4154) | Src Acc: 90.40% | Tgt Acc: 29.71% | CDANcov: 97.7%
[2026-01-18 20:34:28] Epoch 1040/1200 | Loss: 2.9004 (PIL: 0.4373, Trans: 2.4631) | Src Acc: 87.51% | Tgt Acc: 32.44% | CDANcov: 98.1%
[2026-01-18 20:34:38] Epoch 1050/1200 | Loss: 2.9222 (PIL: 0.4558, Trans: 2.4664) | Src Acc: 90.51% | Tgt Acc: 33.55% | CDANcov: 97.2%
[2026-01-18 20:34:47] Epoch 1060/1200 | Loss: 2.9615 (PIL: 0.4608, Trans: 2.5007) | Src Acc: 87.25% | Tgt Acc: 30.94% | CDANcov: 97.8%
[2026-01-18 20:34:57] Epoch 1070/1200 | Loss: 2.8813 (PIL: 0.4316, Trans: 2.4497) | Src Acc: 92.17% | Tgt Acc: 27.17% | CDANcov: 98.1%
[2026-01-18 20:35:07] Epoch 1080/1200 | Loss: 2.9939 (PIL: 0.4941, Trans: 2.4997) | Src Acc: 88.14% | Tgt Acc: 28.53% | CDANcov: 97.6%
[2026-01-18 20:35:16] Epoch 1090/1200 | Loss: 2.8535 (PIL: 0.4636, Trans: 2.3899) | Src Acc: 91.10% | Tgt Acc: 30.36% | CDANcov: 97.6%
[2026-01-18 20:35:26] Epoch 1100/1200 | Loss: 2.9554 (PIL: 0.4753, Trans: 2.4801) | Src Acc: 92.55% | Tgt Acc: 29.45% | CDANcov: 97.7%
[2026-01-18 20:35:36] Epoch 1110/1200 | Loss: 2.7839 (PIL: 0.4068, Trans: 2.3771) | Src Acc: 91.37% | Tgt Acc: 27.82% | CDANcov: 97.1%
[2026-01-18 20:35:46] Epoch 1120/1200 | Loss: 2.8826 (PIL: 0.4238, Trans: 2.4588) | Src Acc: 92.29% | Tgt Acc: 29.12% | CDANcov: 98.3%
[2026-01-18 20:35:56] Epoch 1130/1200 | Loss: 2.9393 (PIL: 0.4865, Trans: 2.4528) | Src Acc: 93.30% | Tgt Acc: 31.47% | CDANcov: 97.3%
[2026-01-18 20:36:06] Epoch 1140/1200 | Loss: 2.8780 (PIL: 0.4418, Trans: 2.4362) | Src Acc: 92.69% | Tgt Acc: 30.55% | CDANcov: 97.8%
[2026-01-18 20:36:16] Epoch 1150/1200 | Loss: 2.8280 (PIL: 0.4423, Trans: 2.3857) | Src Acc: 94.16% | Tgt Acc: 28.14% | CDANcov: 98.5%
[2026-01-18 20:36:27] Epoch 1160/1200 | Loss: 2.9743 (PIL: 0.4995, Trans: 2.4748) | Src Acc: 92.11% | Tgt Acc: 32.18% | CDANcov: 98.2%
[2026-01-18 20:36:36] Epoch 1170/1200 | Loss: 2.9378 (PIL: 0.4464, Trans: 2.4914) | Src Acc: 93.53% | Tgt Acc: 30.49% | CDANcov: 97.7%
[2026-01-18 20:36:46] Epoch 1180/1200 | Loss: 2.8479 (PIL: 0.4244, Trans: 2.4235) | Src Acc: 86.92% | Tgt Acc: 27.17% | CDANcov: 97.8%
[2026-01-18 20:36:55] Epoch 1190/1200 | Loss: 2.9002 (PIL: 0.4024, Trans: 2.4978) | Src Acc: 89.39% | Tgt Acc: 34.07% | CDANcov: 97.6%
[2026-01-18 20:37:04] Epoch 1200/1200 | Loss: 2.7931 (PIL: 0.4137, Trans: 2.3794) | Src Acc: 93.48% | Tgt Acc: 32.83% | CDANcov: 98.4%
Training subject 2/32, Session 1, Dataset REFED
[2026-01-18 20:37:06] Epoch   10/1200 | Loss: 2.1123 (PIL: 2.1123, Trans: 0.0000) | Src Acc: 41.50% | Tgt Acc: 41.95% [SAVE] | CDANcov: 0.0%
[2026-01-18 20:37:07] Epoch   20/1200 | Loss: 1.8555 (PIL: 1.8555, Trans: 0.0000) | Src Acc: 47.12% | Tgt Acc: 31.27% | CDANcov: 0.0%
[2026-01-18 20:37:08] Epoch   30/1200 | Loss: 1.6980 (PIL: 1.6980, Trans: 0.0000) | Src Acc: 44.31% | Tgt Acc: 27.04% | CDANcov: 0.0%
[2026-01-18 20:37:09] Epoch   40/1200 | Loss: 1.4643 (PIL: 1.4643, Trans: 0.0000) | Src Acc: 62.78% | Tgt Acc: 31.73% | CDANcov: 0.0%
[2026-01-18 20:37:10] Epoch   50/1200 | Loss: 1.3627 (PIL: 1.3627, Trans: 0.0000) | Src Acc: 58.47% | Tgt Acc: 29.51% | CDANcov: 0.0%
